domain,pretty_domain,network,pretty_network,stream,site_code,full_name,site_type,latitude,longitude,CRS,ws_area_ha,in_workflow,notes,local_time_zone
hjandrews,H. J. Andrews,lter,LTER,stream 10,GSWS10,?,stream_gauge,44.2170569856,-122.261055512,4326,11.4553743832537,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,Mack Creek,GSWSMA,?,stream_gauge,44.217,-122.171,4326,1.08024168624171,1,estimated ws area from Q and gage location by eyeballing,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,Mack Creek,GSWSMC,?,stream_gauge,44.2194360697,-122.16744705,4326,577.800466448268,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,Mack Creek,GSWSMF,?,stream_gauge,44.212,-122.16,4326,373.097955591284,1,estimated ws area from Q and gage location by eyeballing,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,Mack Creek,GSMACK,?,stream_gauge,44.21944,-122.1674,4326,579.049557975353,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,RD1507,1507 Road Storage RG,rain_gauge,44.205599,-122.166083,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,L523RG,Hi-15 Unit L523 Storage RG,rain_gauge,44.265333,-122.18207,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,BLUERD,Blue Ridge Standard RG,rain_gauge,44.234765,-122.230991,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,CARPMT,Carpenter Mountain Storage RG,rain_gauge,44.27809,-122.139942,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,CENMET,Central Met Station Recording RG1,rain_gauge,44.243103,-122.14149,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,EARTHF,Earthflow Standard RG,rain_gauge,44.232446,-122.145719,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,FORKS_,Forks Standard RG,rain_gauge,44.22249,-122.240035,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,FRISEL,Frissell Ridge Storage RG,rain_gauge,44.227168,-122.10624,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,WS3GRD,WS#3 G Road Standard RG,rain_gauge,44.216648,-122.231448,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,GSMACK,Mack Creek Gaging Station Standard RG,rain_gauge,44.21928,-122.167472,4326,579.049557975353,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,WS3JRD,WS#3 J Road Standard RG,rain_gauge,44.211035,-122.233762,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,MCRAEB,McRae Bridge Standard RG,rain_gauge,44.232959,-122.209223,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,MIDWAY,Midway Standard RG,rain_gauge,44.251137,-122.185031,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,WS3MRD,WS#3 M Road Standard RG,rain_gauge,44.220074,-122.236531,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,MIRKWD,Mirkwood Standard RG,rain_gauge,44.231315,-122.201972,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,MACKWE,Mack West Standard RG,rain_gauge,44.2118,-122.171177,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,RS13RG,Reference Stand #13 Open Storage RG,rain_gauge,44.343931,-122.123217,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,H15PND,Hi-15 Pond Standard RG,rain_gauge,44.262967,-122.171242,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,RS03RG,Primary Met Station Recording RG1,rain_gauge,44.211848,-122.255839,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,RS05RG,Reference Stand #5 Standard RG,rain_gauge,44.222173,-122.202758,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,RS18RG,Reference Stand #18 Standard RG,rain_gauge,44.246321,-122.158768,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,H15RCK,Hi-15 Rockpile Standard RG,rain_gauge,44.263781,-122.183702,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,H15RDG,Hi-15 Ridge Standard RG,rain_gauge,44.272046,-122.172201,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,RDSEND,Roads End Storage RG,rain_gauge,44.2051,-122.137927,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,ROSSRG,Ross' House in Blue River Standard RG,rain_gauge,44.156838,-122.344103,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,WS1SDL,WS#1 Saddle Standard RG,rain_gauge,44.201943,-122.240765,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,SPOTFI,Spotfire Unit Storage RG,rain_gauge,44.20017,-122.247569,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,SLTRWD,Shelterwood Standard RG,rain_gauge,44.230525,-122.167795,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,TRAILS,Trails End Standard RG,rain_gauge,44.220693,-122.115278,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,UNIT3B,Unit 3B Standard RG,rain_gauge,44.231306,-122.223428,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,UNIT3H,Unit 3H Standard RG,rain_gauge,44.259673,-122.170752,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,UPLMET,Upper Lookout Met Station Recording RG1,rain_gauge,44.207352,-122.11996,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,VANMET,Vanilla Leaf Met Station Recording RG,rain_gauge,44.271625,-122.149519,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,VARMET,Vanilla Leaf Met Meadow Recording RG,rain_gauge,44.273329,-122.149663,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,WS10RG,Top of WS#10 Storage RG,rain_gauge,44.219956,-122.25684,4326,NA,1,NA,America/Los_Angeles
hjandrews,H. J. Andrews,lter,LTER,NA,WS09RG,Top of WS#9 Storage RG,rain_gauge,44.203214,-122.254851,4326,NA,1,NA,America/Los_Angeles
neon,NEON,neon,NEON,Little Rock Lake,LIRO,Little Rock Lake,lake_gauge,45.998269,-89.704767,4326,NA,0,NA,America/Chicago
neon,NEON,neon,NEON,Toolik Lake,TOOK,Toolik Lake,lake_gauge,68.630692,-149.610636,4326,NA,0,NA,America/Anchorage
neon,NEON,neon,NEON,Ordway-Swisher Biological Station - Suggs Lake,SUGG,Ordway-Swisher Biological Station - Suggs Lake,lake_gauge,29.68705,-82.01617,4326,NA,0,NA,America/New_York
neon,NEON,neon,NEON,Crampton Lake,CRAM,Crampton Lake,lake_gauge,46.21111,-89.47825,4326,NA,0,NA,America/Chicago
neon,NEON,neon,NEON,Ordway-Swisher Biological Station - Barco Lake,BARC,Ordway-Swisher Biological Station - Barco Lake,lake_gauge,29.67647,-82.00909,4326,NA,0,NA,America/New_York
neon,NEON,neon,NEON,Prairie Pothole,PRPO,Prairie Pothole,lake_gauge,47.12999,-99.25055,4326,NA,0,NA,America/Chicago
neon,NEON,neon,NEON,Prairie Lake at Dakota Coteau Field School,PRLA,Prairie Lake at Dakota Coteau Field School,lake_gauge,47.15909,-99.11388,4326,NA,0,NA,America/Chicago
neon,NEON,neon,NEON,Flint River,FLNT,Flint River,stream_gauge,31.18542,-84.4374,4326,1498666.08860273,1,NA,America/New_York
neon,NEON,neon,NEON,Lower Tombigbee River at Choctaw Refuge,TOMB,Lower Tombigbee River at Choctaw Refuge,stream_gauge,31.8521,-88.16107,4326,4710989.00396272,1,NA,America/Chicago
neon,NEON,neon,NEON,Black Warrior River near Dead Lake,BLWA,Black Warrior River near Dead Lake,stream_gauge,32.54153,-87.79815,4326,1617163.69940953,1,NA,America/Chicago
neon,NEON,neon,NEON,West St Louis Creek,WLOU,West St Louis Creek,stream_gauge,39.89137,-105.9154,4326,490.347775627431,1,NA,America/Denver
neon,NEON,neon,NEON,McDiffett Creek,MCDI,McDiffett Creek,stream_gauge,38.94428,-96.44197,4326,2257.95882477408,1,NA,America/Chicago
neon,NEON,neon,NEON,Lewis Run,LEWI,Lewis Run,stream_gauge,39.09564,-77.98322,4326,1190.85756655091,1,NA,America/New_York
neon,NEON,neon,NEON,Blue River,BLUE,Blue River,stream_gauge,34.44422,-96.6242,4326,32215.0462024722,1,NA,America/Chicago
neon,NEON,neon,NEON,Teakettle 2 Creek,TECR,Teakettle 2 Creek,stream_gauge,36.95528,-119.02699,4326,297.478021358845,1,NA,America/Los_Angeles
neon,NEON,neon,NEON,Lower Hop Brook,HOPB,Lower Hop Brook,stream_gauge,42.47179,-72.32963,4326,1188.20105664874,1,NA,America/New_York
neon,NEON,neon,NEON,Martha Creek,MART,Martha Creek,stream_gauge,45.79125,-121.93196,4326,634.773048930957,1,NA,America/Los_Angeles
neon,NEON,neon,NEON,Upper Big Creek,BIGC,Upper Big Creek,stream_gauge,37.058,-119.256,4326,1090.09223695882,1,NA,America/Los_Angeles
neon,NEON,neon,NEON,Red Butte Creek,REDB,Red Butte Creek,stream_gauge,40.78374,-111.79765,4326,1671.48265693855,1,NA,America/Denver
neon,NEON,neon,NEON,Sycamore Creek,SYCA,Sycamore Creek,stream_gauge,33.74906,-111.5069,4326,28047.5052642293,1,NA,America/Phoenix
neon,NEON,neon,NEON,Como Creek,COMO,Como Creek,stream_gauge,40.03496,-105.54487,4326,356.628618647609,1,NA,America/Denver
neon,NEON,neon,NEON,Blacktail Deer Creek,BLDE,Blacktail Deer Creek,stream_gauge,44.95011,-110.58715,4326,3783.90054300736,1,NA,America/Denver
neon,NEON,neon,NEON,Pringle Creek,PRIN,Pringle Creek,stream_gauge,33.37859,-97.78226,4326,4891.13869462525,1,NA,America/Chicago
neon,NEON,neon,NEON,McRae Creek,MCRA,McRae Creek,stream_gauge,44.2596,-122.16555,4326,393.221740959929,1,NA,America/Los_Angeles
neon,NEON,neon,NEON,"Caribou Creek, Caribou-Poker Creeks Research Watershed",CARI,"Caribou Creek, Caribou-Poker Creeks Research Watershed",stream_gauge,65.15306,-147.50246,4326,3104.73890138105,1,NA,America/Anchorage
neon,NEON,neon,NEON,Oksrukuyik Creek,OKSR,Oksrukuyik Creek,stream_gauge,68.66975,-149.14302,4326,5781.45676179947,1,NA,America/Anchorage
neon,NEON,neon,NEON,Arikaree River,ARIK,Arikaree River,stream_gauge,39.75825,-102.4471,4326,263229.722553434,1,NA,America/Denver
neon,NEON,neon,NEON,Rio Guilarte,GUIL,Rio Guilarte,stream_gauge,18.1741,-66.79851,4326,955.29486851723,1,NA,America/Puerto_Rico
neon,NEON,neon,NEON,Rio Cupeyes,CUPE,Rio Cupeyes,stream_gauge,18.11352,-66.98676,4326,425.80699893888,1,NA,America/Puerto_Rico
neon,NEON,neon,NEON,Posey Creek,POSE,Posey Creek,stream_gauge,38.89332,-78.14678,4326,202.731453568926,1,NA,America/New_York
neon,NEON,neon,NEON,Kings Creek,KING,Kings Creek,stream_gauge,39.10506,-96.60336,4326,1304.12533348093,1,NA,America/Chicago
neon,NEON,neon,NEON,Mayfield Creek,MAYF,Mayfield Creek,stream_gauge,32.95966,-87.40813,4326,1436.21156518353,1,NA,America/Chicago
neon,NEON,neon,NEON,Walker Branch,WALK,Walker Branch,stream_gauge,35.95947,-84.28041,4326,108.996108168988,1,NA,America/New_York
neon,NEON,neon,NEON,LeConte Creek,LECO,LeConte Creek,stream_gauge,35.69043,-83.50379,4326,912.099386541036,1,NA,America/New_York
konza,Konza,lter,LTER,N04D,N04D,?,stream_gauge,39.0874,-96.5844,4326,126.444670122611,1,NA,America/Chicago
konza,Konza,lter,LTER,N20B,N20B,?,stream_gauge,39.08858,-96.57654,4326,76.0179275160646,1,NA,America/Chicago
konza,Konza,lter,LTER,N01B,N01B,?,stream_gauge,39.08668,-96.577,4326,121.415317380234,1,NA,America/Chicago
konza,Konza,lter,LTER,N02B,N02B,?,stream_gauge,39.0898,-96.5886,4326,95.980740688174,1,NA,America/Chicago
konza,Konza,lter,LTER,HIKN,HIKN,Hiking Trail,stream_sampling_point,39.10713,-96.60664,4326,NA,1,NA,America/Chicago
konza,Konza,lter,LTER,HOKN,HOKN,Hokanson,stream_sampling_point,39.10376,-96.59542,4326,NA,1,NA,America/Chicago
konza,Konza,lter,LTER,NFKC,NFKC,North Fork Kings Creek,stream_sampling_point,39.10155,-96.59239,4326,NA,1,NA,America/Chicago
konza,Konza,lter,LTER,SFKC,SFKC,South Fork Kings Creek,stream_sampling_point,39.10128,-96.59239,4326,NA,1,NA,America/Chicago
konza,Konza,lter,LTER,K2AL-1,K2AL-1,?,stream_sampling_point,39.10093,-96.57538,4326,NA,1,NA,America/Chicago
konza,Konza,lter,LTER,KZFL,KZFL,Konza Falls,stream_sampling_point,39.08763,-96.58482,4326,NA,1,NA,America/Chicago
konza,Konza,lter,LTER,STCK,STCK,Stone Creek,stream_sampling_point,39.10564,-96.6061,4326,NA,1,NA,America/Chicago
konza,Konza,lter,LTER,SHAN,SHAN,Shane,stream_sampling_point,39.11439,-96.55757,4326,NA,1,NA,America/Chicago
konza,Konza,lter,LTER,K2AL-2,K2AL-2,?,stream_sampling_point,39.10065,-96.57412,4326,NA,1,NA,America/Chicago
konza,Konza,lter,LTER,TUBE,TUBE,Four Tubes,stream_sampling_point,39.09873,-96.58944,4326,NA,1,NA,America/Chicago
konza,Konza,lter,LTER,NA,HQ02,?,rain_gauge,39.1023,-96.6095,4326,NA,1,NA,America/Chicago
konza,Konza,lter,LTER,NA,N02B,?,rain_gauge,39.0877,-96.5954,4326,95.980740688174,1,NA,America/Chicago
konza,Konza,lter,LTER,NA,R01A,?,rain_gauge,39.0692,-96.6107,4326,NA,1,NA,America/Chicago
konza,Konza,lter,LTER,NA,004B,?,rain_gauge,39.0776,-96.5954,4326,NA,1,NA,America/Chicago
konza,Konza,lter,LTER,NA,N4DU,?,rain_gauge,39.0778,-96.5898,4326,NA,1,NA,America/Chicago
konza,Konza,lter,LTER,NA,002C,?,rain_gauge,39.0678,-96.5792,4326,NA,1,NA,America/Chicago
konza,Konza,lter,LTER,NA,020B,?,rain_gauge,39.0756,-96.5758,4326,NA,1,NA,America/Chicago
konza,Konza,lter,LTER,NA,K01B,?,rain_gauge,39.0862,-96.5631,4326,NA,1,NA,America/Chicago
konza,Konza,lter,LTER,NA,N01B,?,rain_gauge,39.0849,-96.571,4326,121.415317380234,1,NA,America/Chicago
konza,Konza,lter,LTER,NA,N4DF,?,rain_gauge,39.0876,-96.5843,4326,NA,1,NA,America/Chicago
konza,Konza,lter,LTER,Kings Creek,HIKX,Hiking Trail,stream_sampling_point,39.107,-96.6068,4326,NA,1,NA,America/Chicago
baltimore,Baltimore,lter,LTER,NA,WXCMNC,Carrie Murray Nature Center,rain_gauge,39.30724722,-76.69507222,4326,NA,1,NA,America/New_York
baltimore,Baltimore,lter,LTER,NA,WXCPGC,Carroll Park Golf Course,rain_gauge,39.27359167,-76.64858611,4326,NA,1,NA,America/New_York
baltimore,Baltimore,lter,LTER,NA,WXDRNC,Dead Run Near Cantonsville,rain_gauge,39.29588611,-76.74402778,4326,NA,1,NA,America/New_York
baltimore,Baltimore,lter,LTER,NA,WXGFGL,Glyndon Elementary School,rain_gauge,39.46822222,-76.8105,4326,NA,1,NA,America/New_York
baltimore,Baltimore,lter,LTER,NA,WXGFND,Gwynns Falls Near Delight,rain_gauge,39.44389167,-76.78266944,4326,NA,1,NA,America/New_York
baltimore,Baltimore,lter,LTER,NA,WXMCDO,McDonogh School,rain_gauge,39.39633611,-76.77140833,4326,NA,1,NA,America/New_York
baltimore,Baltimore,lter,LTER,NA,WXORDG,Oregon Ridge Park,rain_gauge,39.49656944,-76.68900556,4326,NA,1,NA,America/New_York
baltimore,Baltimore,lter,LTER,NA,WXUMBC,UMBC Campus,rain_gauge,39.2543,-76.70233889,4326,NA,1,NA,America/New_York
baltimore,Baltimore,lter,LTER,Gwynns Falls,GFCP,Gwynns Falls at Carroll Park,stream_gauge,39.2715,-76.649,4326,16317.4586167544,1,Collocated with USGS gauge 01589352,America/New_York
baltimore,Baltimore,lter,LTER,Gwynns Falls,GFGB,Gwynns Falls at Gwynnbrook Avenue,stream_gauge,39.443,-76.783,4326,1052.82392379943,1,Collocated with USGS gauge 01589197,America/New_York
baltimore,Baltimore,lter,LTER,Gwynns Falls,GFGL,Gwynns Falls at Glyndon,stream_gauge,39.4718,-76.817,4326,85.446106678451,1,Collocated with USGS gauge 01589180,America/New_York
baltimore,Baltimore,lter,LTER,Gwynns Falls,GFVN,Gwynns Falls at Villa Nova,stream_gauge,39.3458,-76.733,4326,8295.10738784443,1,Collocated with USGS gauge 01589300,America/New_York
baltimore,Baltimore,lter,LTER,Pond Branch,POBR,Pond Branch forested reference site,stream_gauge,39.4803,-76.688,4326,35.7976002761846,1,Collocated with USGS gauge 01583570,America/New_York
baltimore,Baltimore,lter,LTER,Dead Run,DRKR,Dead Run at Krome Avenue,stream_gauge,39.3112,-76.717,4326,1411.38383839179,1,Collocated with USGS gauge 01589330,America/New_York
baltimore,Baltimore,lter,LTER,Baisman Run,BARN,Baisman Run at Ivy Hill Road,stream_gauge,39.4794,-76.678,4326,382.395526291699,1,Collocated with USGS gauge 01583580,America/New_York
baltimore,Baltimore,lter,LTER,NA,RGHT,Rognel Heights,stream_sampling_point,39.2547,-76.69,4326,NA,1,point does not look to be on a flow line,America/New_York
baltimore,Baltimore,lter,LTER,NA,MCDN,McDonogh agricultural site,stream_gauge,39.4004,-76.77,4326,5.61447518986847,1,Collocated with USGS gauge 01589238.,America/New_York
baltimore,Baltimore,lter,LTER,Gwynns Run,GRGF,Gwynns Run at Gwynns Run,stream_sampling_point,NA,NA,4326,NA,0,"In baltimore meta data but cant find coordinates, maybe collocated with USGS gauge 0158935180",America/New_York
baltimore,Baltimore,lter,LTER,Gwynns Falls,GFuGR,Gwynns Falls above Gwynns Run,stream_sampling_point,NA,NA,4326,NA,0,In baltimore meta data but cant find coordinates,America/New_York
baltimore,Baltimore,lter,LTER,Maidens Choice,MAWI,Maidens Choice at Wilkens Avenue,stream_gauge,39.2755,-76.666,4326,1224.15109685439,1,"Was collocated with USGS gauge 01589351, but sampling and gauging only overlap for a short time",America/New_York
baltimore,Baltimore,lter,LTER,Gwynns Run,GRuTW,Gwynns Run above trash weir,stream_sampling_point,NA,NA,4326,NA,0,In baltimore meta data but cant find coordinates,America/New_York
baltimore,Baltimore,lter,LTER,NA,CBLM,NA,stream_sampling_point,NA,NA,4326,NA,0,In baltimore meta data but cant find coordinates,America/New_York
baltimore,Baltimore,lter,LTER,Red Run,RR1,"Red Run at Painters Mill Bridge Road, Suburban",stream_sampling_point,39.404756,-76.779566,4326,NA,1,Cant find collocated USGS gauge,America/New_York
baltimore,Baltimore,lter,LTER,Red Run,RR2,"Red Run at Painters Mill Bridge Road, Suburban",stream_sampling_point,39.4113889,-76.8130556,4326,NA,1,Cant find collocated USGS gauge,America/New_York
baltimore,Baltimore,lter,LTER,Scotts Level Branch,SL1,"Scotts Level Branch at Gwynns Falls, Suburban",stream_sampling_point,39.360495,-76.745558,4326,NA,1,Collocated with USGS gauge 01589290 (possibly),America/New_York
baltimore,Baltimore,lter,LTER,Scotts Level Branch,SL2,"Scotts Level Branch at McDonogh Road,Suburban",stream_sampling_point,39.373866,-76.791005,4326,NA,1,Cant find collocated USGS gauge,America/New_York
baltimore,Baltimore,lter,LTER,Horsehead Branch,HH,"Horsehead Branch at McDonogh Road, Suburban",stream_sampling_point,39.389581,-76.779703,4326,NA,1,Cant find collocated USGS gauge,America/New_York
baltimore,Baltimore,lter,LTER,Holly Branch,HLB,"Holly Branch at Gwynnbrook Avenue, Suburban",stream_sampling_point,39.1027778,-76.791111,4326,NA,1,Cant find collocated USGS gauge,America/New_York
baltimore,Baltimore,lter,LTER,Gwynns Falls,GF5,"Gwynns Falls at McDonogh Road, Suburban",stream_sampling_point,39.39121,-76.765326,4326,NA,1,Cant find collocated USGS gauge,America/New_York
baltimore,Baltimore,lter,LTER,Jennifer Branch,JBHH,Jennifer Branch at Hartford Hills,stream_sampling_point,39.3993,-76.52,4326,NA,1,NA,America/New_York
baltimore,Baltimore,lter,LTER,Jennifer Branch,JBNW,Jennifer Branch at Northwind,stream_sampling_point,NA,NA,4326,NA,1,Cant find location,America/New_York
baltimore,Baltimore,lter,LTER,Jennifer Branch,JBON,Jennifer Branch at Ontario,stream_sampling_point,NA,NA,4326,NA,1,Cant find location,America/New_York
niwot,Niwot,lter,LTER,Soddie stream,SODDIE,Soddie stream,stream_sampling_point,40.047778,-105.570833,4326,NA,1,NA,America/Denver
niwot,Niwot,lter,LTER,Albion,ALBION,Albion Camp,stream_gauge,40.04287468,-105.592296,4326,715.106665095472,1,NA,America/Denver
niwot,Niwot,lter,LTER,Green Lake 1,GREEN1,Green Lake 1 Outlet,stream_sampling_point,40.049746,-105.605309,4326,NA,1,NA,America/Denver
niwot,Niwot,lter,LTER,Green Lake 4,GREEN4,Green Lake 4 Outlet,stream_gauge,40.055742,-105.617065,4326,228.789002038879,1,NA,America/Denver
niwot,Niwot,lter,LTER,Green Lake 5,GREEN5,Green Lake 5 Outlet,stream_sampling_point,40.05367068,-105.6279131,4326,NA,1,NA,America/Denver
niwot,Niwot,lter,LTER,Lake Albion Inlet,ALBION_INLET,Lake Albion Inlet,stream_sampling_point,40.047178,-105.607123,4326,NA,1,NA,America/Denver
niwot,Niwot,lter,LTER,NA,MARTINELLI,Martinelli Basin,stream_gauge,40.05060202,-105.595805,4326,16.1700422112186,1,NA,America/Denver
niwot,Niwot,lter,LTER,NA,NAVAJO,Navajo meadow,stream_sampling_point,40.05195303,-105.6367,4326,NA,1,NA,America/Denver
niwot,Niwot,lter,LTER,NA,SPILLWAY,Lake Albion spillway,stream_sampling_point,40.04287468,-105.592296,4326,NA,0,"This may be the same as the ALBION site, but can not confirm",America/Denver
niwot,Niwot,lter,LTER,Saddle Stream 007,SADDLE_007,Saddle Stream 007,stream_sampling_point,40.05485646,-105.5901358,4326,NA,1,NA,America/Denver
niwot,Niwot,lter,LTER,Saddle Stream,SADDLE,Saddle Stream,stream_gauge,40.04903177,-105.5923174,4326,19.9508915072608,1,NA,America/Denver
niwot,Niwot,lter,LTER,NA,FLUME,Watershed Flume,stream_sampling_point,40.01368597,-105.5578493,4326,NA,1,NA,America/Denver
niwot,Niwot,lter,LTER,NA,ROCK_GLACIER,Green Lake 5 Rock Glacier,stream_sampling_point,40.05213501,-105.6289841,4326,NA,1,NA,America/Denver
niwot,Niwot,lter,LTER,NA,saddle,Saddle Climate Station,rain_gauge,40.05492794,-105.5893007,4326,NA,NA,NA,America/Denver
niwot,Niwot,lter,LTER,NA,C1,C1 Climate Station,rain_gauge,40.0361669465,-105.543515181,4326,NA,NA,NA,America/Denver
niwot,Niwot,lter,LTER,NA,D1,D1 Climate Station,rain_gauge,40.059693,-105.617012,4326,NA,NA,NA,America/Denver
